Id,NAME,OWNERSHIP,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
a735bf55-83e9-331a-899d-a82a60b9f60c,Medicare,GOVERNMENT,,,,,,53565289.68,2614316.05,8084002.50,24847,0,23753,0,57390,0,5006,0,326,0.7763072622070396,49200
df166300-5a78-3502-a46a-832842197811,Medicaid,GOVERNMENT,,,,,,114836882.23,2613229.54,965900.00,32391,0,12515,0,70402,0,11052,0,445,0.9333013199111327,97608
d18ef2e6-ef40-324c-be54-34a5ee865625,Dual Eligible,GOVERNMENT,,,,,,19152770.65,367593.02,97940.00,6092,0,8303,0,14112,0,1017,0,71,0.7014919361421812,10164
26aab0cd-6aba-3e1b-ac5b-05c8867e762c,Humana,PRIVATE,,,,,,54814599.10,34565433.19,33645618.00,26946,0,11154,0,63186,0,11001,0,260,0.9559204420968735,99384
b046940f-1664-3047-bca7-dfa76be352a4,Blue Cross Blue Shield,PRIVATE,,,,,,30832958.36,11387391.00,22787148.00,9543,0,3465,0,21989,0,4427,0,380,0.4655636986253529,77232
d31fccc3-1767-390d-966a-22a5156f4219,UnitedHealthcare,PRIVATE,,,,,,27731725.84,7001385.18,17072826.00,10099,0,3680,0,22937,0,3948,0,120,0.958594719267548,34344
0133f751-9229-3cfd-815f-b6d4979bdd6a,Aetna,PRIVATE,,,,,,13841305.64,9404430.38,3169573.75,7587,0,2906,0,17147,0,2957,0,222,0.9328010193081765,26904
8fa6c185-e44e-3e34-8bd8-39be8694f4ce,Cigna Health,PRIVATE,,,,,,15452377.87,7938674.72,3508198.76,7220,0,3125,0,16248,0,2541,0,227,0.9301905209928942,24456
734afbd6-4794-363b-9bc0-6a3981533ed5,Anthem,PRIVATE,,,,,,10283816.47,3123371.05,3608112.71,4196,0,1859,0,10270,0,1934,0,183,0.9153431532534447,15612
e03e23c9-4df1-3eb6-a62d-f70f02301496,NO_INSURANCE,NO_INSURANCE,,,,,,0.00,109312498.84,0.00,0,37223,0,14315,0,83467,0,14904,437,0.9770874488800503,141852
