run_id,compromise_time,clean_backup,rejected_backup,prediction,decision_score,detection_latency_seconds,backup_selection_seconds,hash_verification_seconds,restore_seconds,rpo_seconds,rto_seconds,recovered_patients,recovered_conditions,attack_marker_absent,recovery_success
20260713_151347,2026-07-13T15:13:50+05:30,rescuecloud_2026-07-13_15-13-47.sql,rescuecloud_2026-07-13_15-13-52.sql,suspicious,-0.12005,0.081263,0.65022,0.011164,8.024729,3.0,11.953,1108,37724,True,True
20260713_180828,2026-07-13T18:08:31+05:30,rescuecloud_2026-07-13_18-08-28.sql,rescuecloud_2026-07-13_18-08-33.sql,suspicious,-0.12005,0.091541,0.631095,0.011624,7.885943,3.0,11.799,1108,37724,True,True
20260713_180846,2026-07-13T18:08:49+05:30,rescuecloud_2026-07-13_18-08-46.sql,rescuecloud_2026-07-13_18-08-51.sql,suspicious,-0.12005,0.076268,0.658852,0.011199,6.624149,3.0,10.586,1108,37724,True,True
20260713_180902,2026-07-13T18:09:06+05:30,rescuecloud_2026-07-13_18-09-02.sql,rescuecloud_2026-07-13_18-09-08.sql,suspicious,-0.12005,0.063591,0.667969,0.010689,6.603838,4.0,10.536,1108,37724,True,True
20260713_180919,2026-07-13T18:09:22+05:30,rescuecloud_2026-07-13_18-09-19.sql,rescuecloud_2026-07-13_18-09-24.sql,suspicious,-0.12005,0.06992,0.751831,0.01385,7.126031,3.0,11.232,1108,37724,True,True
20260713_180936,2026-07-13T18:09:39+05:30,rescuecloud_2026-07-13_18-09-36.sql,rescuecloud_2026-07-13_18-09-41.sql,suspicious,-0.12005,0.070915,0.697975,0.01499,6.869875,3.0,10.841,1108,37724,True,True
20260713_180953,2026-07-13T18:09:56+05:30,rescuecloud_2026-07-13_18-09-53.sql,rescuecloud_2026-07-13_18-09-58.sql,suspicious,-0.12005,0.067638,0.714156,0.011585,6.873269,3.0,10.864,1108,37724,True,True
20260713_181010,2026-07-13T18:10:13+05:30,rescuecloud_2026-07-13_18-10-10.sql,rescuecloud_2026-07-13_18-10-15.sql,suspicious,-0.12005,0.090008,1.191589,0.012757,7.234166,3.0,11.965,1108,37724,True,True
20260713_181028,2026-07-13T18:10:31+05:30,rescuecloud_2026-07-13_18-10-28.sql,rescuecloud_2026-07-13_18-10-33.sql,suspicious,-0.12005,0.073043,0.796867,0.012306,7.09472,3.0,11.365,1108,37724,True,True
20260713_181045,2026-07-13T18:10:49+05:30,rescuecloud_2026-07-13_18-10-45.sql,rescuecloud_2026-07-13_18-10-51.sql,suspicious,-0.12005,0.085055,0.880376,0.011183,7.249131,4.0,11.628,1108,37724,True,True
20260713_185441,2026-07-13T18:54:46+05:30,rescuecloud_2026-07-13_18-54-41.sql,rescuecloud_2026-07-13_18-54-49.sql,suspicious,-0.12005,0.150178,0.740853,0.010651,8.317152,5.0,14.454,1108,37724,True,True
20260713_201947,2026-07-13T20:19:52+05:30,rescuecloud_2026-07-13_20-19-47.sql,rescuecloud_2026-07-13_20-19-54.sql,suspicious,-0.12005,0.167901,0.747499,0.008043,6.894067,5.0,13.084,1108,37724,True,True
20260713_202612,2026-07-13T20:26:17+05:30,rescuecloud_2026-07-13_20-26-12.sql,rescuecloud_2026-07-13_20-26-20.sql,suspicious,-0.12005,0.161391,0.720018,0.007461,8.039733,5.0,14.149,1108,37724,True,True
20260713_222354,2026-07-13T22:24:00+05:30,rescuecloud_2026-07-13_22-23-54.sql,rescuecloud_2026-07-13_22-24-02.sql,suspicious,-0.12005,0.167523,0.72585,0.008207,8.355386,6.0,14.495,1108,37724,True,True
20260714_091313,2026-07-14T09:13:18+05:30,rescuecloud_2026-07-14_09-13-13.sql,rescuecloud_2026-07-14_09-13-20.sql,suspicious,-0.12005,0.143758,0.782063,0.007744,8.477832,5.0,14.686,1108,37724,True,True
20260729_112947,2026-07-29T11:29:53+05:30,rescuecloud_2026-07-29_11-29-48.sql,rescuecloud_2026-07-29_11-29-55.sql,suspicious,-0.12005,0.13972,0.876578,0.00762,7.672218,5.0,13.979,1108,37724,True,True
20260729_113446,2026-07-29T11:34:51+05:30,rescuecloud_2026-07-29_11-34-46.sql,rescuecloud_2026-07-29_11-34-53.sql,suspicious,-0.12005,0.134604,0.955123,0.007922,9.234282,5.0,15.689,1108,37724,True,True
20260729_113524,2026-07-29T11:35:29+05:30,rescuecloud_2026-07-29_11-35-24.sql,rescuecloud_2026-07-29_11-35-31.sql,suspicious,-0.12005,0.152119,0.94919,0.007986,9.11152,5.0,15.427,1108,37724,True,True
